pub_names,pub_ratings,pub_price,pub_neighbourhoods,pub_reviews,pub_type
The Crobar,4,£,Bloomsbury,44,Music VenuesDance ClubsPubs
Duke of Argyll,4,££,Soho,24,Pubs
The Black Dog,4,££,Vauxhall,22,Pubs
The Globe,4.5,£,Lisson Grove,4,Pubs
The Mirror Bar,3.5,££££,Marylebone,5,Bars
Golden Eagle,4,££,Marylebone,16,Pubs
Bourne & Hollingsworth,4,££,Fitzrovia,50,Lounges
Ye Olde Swiss Cottage,3.5,£,Swiss Cottage,25,Pubs
Portobello Star,4.5,££,Notting Hill,23,Pubs
Prince Of Wales,4.5,££,Clapham,20,Pubs
The Eagle,4,££,Little Venice,5,BarsCoffee & Tea
The Chapel,4,££,Marylebone,17,Pubs
The Scarsdale Tavern,4,££,Kensington,59,Pubs
BrewDog Camden,4,££,Camden Town,67,Bars
The Adam & Eve,3.5,££,Fitzrovia,20,Gastropubs
The Princess Victoria,4.5,££,Acton,42,GastropubsVenues & Event SpacesPubs
Coopers Arms,3.5,££,Chelsea,15,Pubs
The Walrus Bar and Hostel,4,£,Southwark,24,Pubs
The Angelic,3.5,££,Islington,49,Pubs
Fish Bone,4.5,£,Fitzrovia,80,Fish & ChipsBritishSeafood
Back Room,3.5,££,Mayfair,5,PubsPizzaSports Bars
North Star,3,,Swiss Cottage,5,PubsSwiss Cottage
The Wolseley,4,£££,Mayfair,556,CafesBritishTea Rooms
The Porter House,4,££,Strand,155,PubsIrish
The King’s Head,4,££,South Kensington,51,Gastropubs
French House,4,££,Soho,50,Modern EuropeanPubsBritish
Goat Tavern,4,££,Kensington,28,Pubs
Goddards at Greenwich,4.5,£,Greenwich,87,British
The Counting House,4,££,The City,41,BritishPubs
Exmouth Arms,4,££,Euston,16,Pubs
Fish Bone,4.5,£,Fitzrovia,80,Fish & ChipsBritishSeafood
Rileys Sports Bar,2.5,££,Trafalgar Square,20,Sports Bars
The Adam & Eve,3.5,££,Fitzrovia,20,Gastropubs
Milk & Honey,4,£££,Soho,74,Social ClubsLounges
The Stanhope Arms,4,££,South Kensington,94,Pubs
The Anchor and Hope,4,££,Waterloo,114,British
Kitty Fisher’s,4.5,££££,Mayfair,22,British
Fox & Pheasant,4.5,£,West Brompton,3,Pubs
Crown & Cushion Public House,4,£,Southwark,19,Pubs
White Horse,3.5,££,Soho,33,Pubs
The Ladbroke Arms,4,££,Notting Hill,31,Gastropubs
